TaxonomyInput	nb_genomes	Reads
192812	1	283
2518599	1	283
2509455	1	283
702745	1	283
161899	1	283
69539	1	282
2490858	1	282
190148	1	282
198620	1	282
283686	1	282
2602070	1	282
1402135	1	282
134537	1	281
273384	1	281
1383885	1	281
69665	1	281
1389192	1	281
2487064	1	281
96773	1	280
1938606	1	280
1778678	1	280
1424294	1	280
1930275	1	279
1089444	1	279
67260	1	279
190893	1	279
38300	1	279
2202828	1	279
1236179	1	278
640512	1	278
270351	1	278
1260	1	278
582702	1	278
1539298	1	278
1286180	1	278
76853	1	278
1774273	1	278
2293317	1	277
1853278	1	277
109328	1	277
1510150	1	277
38289	1	277
296842	1	277
274	1	277
2654191	1	277
2082188	1	276
434008	1	276
262209	1	276
1885	1	276
434010	1	276
146017	1	276
2599308	1	275
366602	1	275
362257	1	275
2662397	1	275
1825976	1	274
2184053	1	274
1927	1	274
663	1	274
2597701	1	273
1938604	1	273
69395	1	273
1494608	1	273
1178778	1	272
2420509	1	272
297	1	272
47770	1	272
1560345	1	272
1824	1	272
2591109	1	271
2596828	1	271
1316593	1	271
1549858	1	271
95485	1	271
1307763	1	271
2509614	1	271
1765049	1	271
636	1	270
2547600	1	270
454	1	270
2496866	1	270
2496837	1	270
645517	1	270
1670830	1	270
2704467	1	269
689	1	269
2033869	1	269
1842536	1	269
2202254	1	269
160699	1	269
45398	1	269
2017482	1	268
492	1	268
1571470	1	268
2494375	1	268
420953	1	268
1836467	1	267
2049881	1	267
2211211	1	267
2282656	1	267
1670831	1	267
414996	1	266
2419842	1	266
2576307	1	266
394958	1	266
2594795	1	266
1827580	1	266
2202825	1	266
1897729	1	266
1478	1	265
2173034	1	265
2497860	1	265
1653480	1	265
290335	1	265
2507538	1	265
863372	1	264
1508404	1	264
540747	1	264
1497	1	264
1376	1	264
2605945	1	264
1261031	1	264
511062	1	264
134601	1	264
68175	1	264
2496836	1	263
182710	1	263
1176536	1	263
1241978	1	263
40214	1	262
68570	1	262
75385	1	262
111015	1	261
1758178	1	261
424800	1	261
686597	1	261
33033	1	261
1047172	1	261
2591145	1	261
1678128	1	261
48074	1	261
1081866	1	261
1610	1	260
193462	1	260
155892	1	260
2419771	1	260
2026199	1	260
1504	1	259
1315974	1	259
2571749	1	259
518	1	259
285570	1	259
1031542	1	259
2293862	1	259
381	1	258
104336	1	258
1349819	1	258
2497863	1	258
2662261	1	258
2017483	1	257
29391	1	257
1286	1	257
39152	1	256
2601677	1	256
1354	1	256
29430	1	255
137591	1	255
702113	1	254
407035	1	253
66425	1	253
56459	1	253
1397	1	253
80842	1	253
553	1	253
55211	1	252
2708117	1	252
2509456	1	252
321846	1	252
1850238	1	252
588	1	251
1134687	1	251
1390395	1	251
742013	1	251
337191	1	251
488	1	251
1582	1	251
2711215	1	251
251701	1	250
2173169	1	250
2597660	1	250
1325095	1	250
553510	1	250
1740163	1	249
2478662	1	249
1609977	1	249
356322	1	249
56458	1	249
1903186	1	249
2498135	1	249
40216	1	249
1758689	1	249
265959	1	248
465721	1	248
79967	1	248
2681549	1	248
1173025	1	248
158847	1	248
1889813	1	248
1332264	1	248
1935379	1	247
2545799	1	247
2599293	1	247
1670641	1	247
1402861	1	247
2584122	1	247
196	1	247
392593	1	247
257708	1	246
135719	1	246
1784713	1	246
2604832	1	246
43661	1	246
391905	1	246
1936080	1	246
