accession	seq_abundance
GCF_001580455.1	1.3016649489668387e-05
GCF_014489595.1	9.687801423458111e-06
GCF_002250385.2	1.2973971950358e-05
GCF_001941825.1	1.1224192838632084e-05
GCF_003028855.1	9.517091266216558e-06
GCF_034479515.1	2.1210737037262912e-05
GCF_012849375.1	8.53550786207763e-06
GCF_029834475.1	1.0285286973803545e-05
GCF_002127965.1	5.356031183453713e-05
GCF_013372045.1	1.0071899277251603e-05
GCF_001676745.1	1.3016649489668387e-05
GCF_000067205.1	1.544926923036051e-05
GCF_004008975.1	8.876928176560736e-06
GCF_902859705.1	1.2675229175185282e-05
GCF_016728825.1	1.3699490118634597e-05
GCF_900636675.1	1.6729595409672157e-05
GCF_025836975.1	1.47664286013943e-05
GCF_027557445.1	1.613210985932672e-05
GCF_003854895.1	9.346381108975006e-06
GCF_004216755.1	9.687801423458111e-06
GCF_008801975.1	1.062670728828665e-05
GCF_001477625.1	1.894882745381234e-05
GCF_015624425.1	1.105348268139053e-05
GCF_001653795.1	8.876928176560736e-06
GCF_002762215.1	1.9290247768295443e-05
GCF_029855045.1	1.1608290692425578e-05
GCF_026013905.1	9.559768805526946e-06
GCF_015476235.1	8.876928176560736e-06
GCF_023573145.1	9.0049607944919e-06
GCF_021049305.1	1.3016649489668387e-05
GCF_029223545.1	1.4638395983463136e-05
GCF_000021765.1	1.6217464937947497e-05
GCF_001051995.2	1.2291131321391788e-05
GCF_006496635.1	1.5534624308981286e-05
GCF_010983895.1	1.2205776242771012e-05
GCF_016858125.1	1.502249383725663e-05
GCF_963666255.1	1.2632551635874894e-05
GCF_001551835.1	9.645123884147722e-06
GCF_020510565.1	1.7625823735190306e-05
GCF_001808185.1	8.53550786207763e-06
GCF_000157115.2	0.00478398144653727
GCF_000534275.1	1.3998232893807315e-05
GCF_007035805.1	1.0157254355872381e-05
GCF_000210775.1	2.1082704419331746e-05
GCF_000364385.3	4.058633988417913e-05
GCF_016415705.1	1.2803261793116446e-05
GCF_904859905.1	1.9759700700709713e-05
GCF_000710235.1	0.00015914454408843742
GCF_022354085.1	1.916221515036428e-05
GCF_002290485.1	2.863662887727045e-05
GCF_023195735.1	1.271790671449567e-05
GCF_000783815.2	0.00013353802050220453
GCF_019048385.1	9.047638333802288e-06
GCF_003516165.1	1.5406591691050124e-05
GCF_002393505.1	1.4467685826221584e-05
GCF_001465445.1	0.00019460957925536998
GCF_030687835.1	1.5065171376567018e-05
GCF_000691565.1	3.533700254900139e-05
GCF_000233495.1	3.3075092965550816e-05
GCF_002028325.1	1.109616022070092e-05
GCF_014524625.1	2.30458712276096e-05
GCF_025643095.1	8.706218019319182e-06
GCF_019704535.1	2.240570813795378e-05
GCF_003696365.1	1.0669384827597039e-05
GCF_900475405.1	3.4952904695207895e-05
GCF_001053035.1	0.0001949083220305427
GCF_013000985.1	1.3486102422082657e-05
GCF_001620325.1	1.271790671449567e-05
GCF_000706825.2	2.244838567726417e-05
GCF_020162255.1	1.1352225456563248e-05
GCF_001663815.1	9.47441372690617e-06
GCF_010092425.1	9.047638333802288e-06
GCF_018987265.1	1.664424033105138e-05
GCF_021044665.1	1.0413319591734709e-05
GCF_004306555.1	8.876928176560736e-06
GCF_900039255.1	1.5619979387602065e-05
GCF_013285525.1	1.271790671449567e-05
GCF_020883495.1	1.3784845197255373e-05
GCF_023101125.1	9.218348491043842e-06
GCF_004359355.1	2.7569690394510746e-05
GCF_001971625.1	1.1864355928287906e-05
GCF_963556055.2	1.8607407139329235e-05
GCF_001456115.1	1.1010805142080143e-05
GCF_001563365.1	1.0242609434493157e-05
GCF_034376865.1	1.250451901794373e-05
GCF_011611525.1	9.858511580699663e-06
GCF_003233655.1	2.3259258924161543e-05
GCF_007827425.1	8.578185401388018e-06
GCF_009731575.1	7.148487834490016e-05
GCF_018847095.1	0.0004063328517742056
GCF_029854705.2	1.566265692691245e-05
GCF_031344955.1	0.0005362859589743375
GCF_018779665.1	9.700604685251227e-05
GCF_007748115.1	1.7967244049673414e-05
GCF_937907355.1	0.0007859922414794186
GCF_963662885.1	9.559768805526946e-06
GCF_027947635.1	1.0285286973803545e-05
GCF_963665725.1	1.062670728828665e-05
GCF_000961035.1	9.986544198630827e-06
GCF_937928485.1	2.287516107036805e-05
GCF_016117655.1	9.26102603035423e-06
GCF_002087085.1	9.218348491043842e-06
GCF_937862685.1	9.773156502078887e-06
GCF_000752275.1	1.455304090484236e-05
GCF_001695255.1	9.645123884147722e-06
GCF_000001405.40	0.00026643587791475324
GCF_021090645.1	0.0005764455234654128
GCF_021090355.1	0.000246505467056802
GCF_015161195.1	0.00019827984763606335
GCF_015160985.1	1.4467685826221584e-05
GCF_021090255.1	8.578185401388018e-06
GCF_015161045.1	0.00021189398267607717
GCF_015161015.1	0.00010904111293804173
GCF_015161085.1	2.9276791966926273e-05
GCF_002958105.1	5.134107979039695e-05
GCF_002958065.1	1.2120421164150236e-05
GCF_002958085.1	9.986544198630827e-06
GCF_902150545.1	2.338729154209271e-05
